"organization","key","name","qualifier","visibility","lastAnalysisDate","revision"
"gboticario","actions","actions","TRK","private","2024-06-19T17:57:56+0200","7bfca233e4e5cee1f992fd280ae0454fa3ed28d9"
"gboticario","arq-plataforma-de-desenvolvimento-actions-tf-dependabot","actions-tf-dependabot","TRK","private","2022-10-17T18:45:18+0200","0f8f7355cc9a70abfdc59772f931815f1ee60673"
"gboticario","vd-vd-inteligencia-ativacao-activation-intelligence-api","activation-intelligence-api","TRK","private","2023-03-21T13:15:04+0100","34dc8697c7b8b8ceb1c8dcf112c840225bd77257"
"gboticario","f9c06f19-ddee-4d30-9b17-ec7de1d5daa8","ADO_CMS_Admin","TRK","private","2024-06-24T15:17:22+0200","ff4bb3e02da808454aa27109111a32e27959a75c"
"gboticario","a5bc1a29-b09a-4fe1-b3bc-776b548784c2","ADO_MoozAnalytics_PimpMyScore_BackEnd","TRK","private","2022-01-05T13:12:24+0100","a1b79614bc92a087736d5df5950102ef6711487b"
"gboticario","567863ca-0786-4806-8428-8f17ba33e630","ADO_MotorPromocao_AdapterCloud","TRK","private","2022-09-27T15:31:51+0200","6ff934cdafe60e09a3e8c4cc6741b19f1b5ccb86"
"gboticario","ADO_MotorPromocao_IntegrationProductsPrice","ADO_MotorPromocao_IntegrationProductsPrice","TRK","private","2022-07-06T00:28:50+0200","f3e16c4fb1f54907f6123c5d5c6f02765541da8f"
"gboticario","ADO_MotorPromocao_Monitor","ADO_MotorPromocao_Motor.Monitoring","TRK","private","2022-09-13T16:52:25+0200","585ef56ee9984753aaaea4336feca0118d4c0fb3"
"gboticario","15c0fb4c-c125-4391-8fdc-f98c6baa57e6","ADO_MotorPromocao_OperationConversion","TRK","private","2023-03-03T20:20:29+0100","7533074cb6bd247ca6232da296636a91ca48f621"
"gboticario","ADO_MotorPromocao_OneToOne","ADO_MotorPromocao_PromotionEngine.OneToOne","TRK","private","2023-09-26T13:29:52+0200","7427fc697f7a0b5f316c1e7aa7a85e891e06954d"
"gboticario","297bdf8f-c39f-4ef6-a442-143e2805cff6","ADO_MotorPromocao_RelationshipPromotion","TRK","private","2023-10-09T22:10:27+0200","e5161bf4e371d8af9282d7428721771fdde61367"
"gboticario","1a055d1c-59cc-4ad7-a359-1bdff7f2eb5f","ADO_MotorPromocao_RelationshipPromotionApplier","TRK","private","2023-09-01T23:58:29+0200","c07f5308c58d33f868dff4fc8561dad70372052a"
"gboticario","205d01d4-a40e-42fa-8557-3433406de321","ADO_MotorPromocao_RelationshipStore","TRK","private","2023-09-15T21:23:03+0200","04f41a3f0688449a8b4b955ce8a1718881c03283"
"gboticario","b32c8554-e7f2-4974-838d-86532ebf50ba","ADO_MotorPromocao_""TechnologyAdapterLinx","TRK","private","2022-09-05T16:17:15+0200","3911d55ae3948256f44f436a827ee7209957ce9b"
"gboticario","04f5caac-77f6-4604-9833-6227226eecac","ADO_MotorPromocao_""TechnologyAdapterTOTVs","TRK","private","2022-09-13T16:54:10+0200","e654b014d3c9208bcfd359fd0d95fe714cd6e081"
"gboticario","094e4dc8-910e-4a8e-a91f-344b4084fe1c","ADO_VD_API_Login","TRK","private",,
"gboticario","c15efb41-bc25-48df-955b-780c63ac07fc","ADO_VD_Chatbot_API","TRK","private",,
"gboticario","adyen","adyen","TRK","private",,
"gboticario","dea-gdem-agc-backend-service-event-hub-integrator","agc-backend-service-event-hub-integrator","TRK","private","2024-06-20T16:27:36+0200","6f6fcb0304e940d28ba789946f6d4df543106291"
"gboticario","dea-gdem-agc-gcam-event-consumer-worker","agc-gcam-event-consumer-worker","TRK","private","2023-12-14T21:06:13+0100","5cc39a3668e67fb706a62c73f2aed20be48af812"
"gboticario","dea-gdem-agc-gcam-event-producer-api","agc-gcam-event-producer-api","TRK","private","2023-12-15T12:52:58+0100","420a7f7a5c429c81115ad649ed28ccf1cc7d6f6d"
"gboticario","vd-aggregator-api","aggregator","TRK","private","2023-12-20T19:23:51+0100","19f77f42d4b083015ef2811bd2dde3ba70324b07"
"gboticario","demaba-oms-lifecycle-allocation-follow-up-service","allocation-follow-up-service","TRK","private","2024-06-24T15:24:41+0200","7612039846ac3a59b5a300084f9313c1aa54df35"
"gboticario","alquimia-template-docker","alquimia-template-docker","TRK","private","2024-06-24T21:34:49+0200","a326d3a0d12af99e379d95581ae65a804eecc0fa"
"gboticario","alquimia-template-hexagonal-python","alquimia-template-hexagonal-python","TRK","private","2024-06-24T18:50:08+0200","f773a956d7f307d715cade259c1d366cc3a3930a"
"gboticario","alquimia-template-javascript-fastify","alquimia-template-javascript-fastify","TRK","private","2024-06-24T03:33:06+0200","768e5dd261b888d3c8a54e03c4051b84e6ee43f4"
"gboticario","alquimia-template-javascript-slack","alquimia-template-javascript-slack","TRK","private","2024-06-24T19:22:07+0200","779962d99e9f452c2495af897c52aad5ef6d2cce"
