repoName,collaboratorName
superapp_mobile,ricardolavor
superapp_mobile,renatogp
superapp_mobile,brunopenso
superapp_mobile,chicoribas
superapp_mobile,maiconzotto
superapp_mobile,manumbs
superapp_mobile,s-azdevops
plataformaagendamento_api,ricardolavor
plataformaagendamento_api,renatogp
plataformaagendamento_api,brunopenso
plataformaagendamento_api,chicoribas
plataformaagendamento_api,maiconzotto
plataformaagendamento_api,manumbs
plataformaagendamento_api,s-azdevops
plataformaagendamento_manager,ricardolavor
plataformaagendamento_manager,renatogp
plataformaagendamento_manager,brunopenso
plataformaagendamento_manager,chicoribas
plataformaagendamento_manager,maiconzotto
plataformaagendamento_manager,manumbs
plataformaagendamento_manager,s-azdevops
plataformaagendamento_whitelabel,ricardolavor
plataformaagendamento_whitelabel,renatogp
plataformaagendamento_whitelabel,brunopenso
plataformaagendamento_whitelabel,chicoribas
plataformaagendamento_whitelabel,maiconzotto
plataformaagendamento_whitelabel,manumbs
plataformaagendamento_whitelabel,s-azdevops
plataformaagendamento_plugin,ricardolavor
plataformaagendamento_plugin,renatogp
plataformaagendamento_plugin,brunopenso
plataformaagendamento_plugin,chicoribas
plataformaagendamento_plugin,maiconzotto
plataformaagendamento_plugin,manumbs
plataformaagendamento_plugin,s-azdevops
plataformaagendamento_webhookproxy,ricardolavor
plataformaagendamento_webhookproxy,renatogp
plataformaagendamento_webhookproxy,brunopenso
plataformaagendamento_webhookproxy,chicoribas
plataformaagendamento_webhookproxy,maiconzotto
plataformaagendamento_webhookproxy,manumbs
plataformaagendamento_webhookproxy,s-azdevops
mediawiki-web,ricardolavor
mediawiki-web,renatogp
mediawiki-web,brunopenso
mediawiki-web,chicoribas
mediawiki-web,maiconzotto
mediawiki-web,manumbs
mediawiki-web,s-azdevops
terraform-aws-vpc,ricardolavor
terraform-aws-vpc,renatogp
terraform-aws-vpc,brunopenso
terraform-aws-vpc,fndiaz
terraform-aws-vpc,chicoribas
terraform-aws-vpc,Liniker-xD
terraform-aws-vpc,dougamaral
terraform-aws-vpc,maiconzotto
terraform-aws-vpc,henrique-sulimann
terraform-aws-vpc,ricardolima87
terraform-aws-vpc,manumbs
terraform-aws-vpc,RenanMarquesBlz
terraform-aws-vpc,tbrondani
terraform-aws-vpc,Lucasdsvenancio
terraform-aws-vpc,s-azdevops
terraform-aws-vpc,jecksonbr
terraform-aws-vpc,DevLuizFilipe
terraform-aws-vpc,uiuqM
terraform-aws-vpc,fabioduartethismycloud
terraform-aws-vpc,flaviobatistagrupoboticario
terraform-aws-vpc,diegoduarte-gb
terraform-aws-apigateway,ricardolavor
terraform-aws-apigateway,renatogp
terraform-aws-apigateway,brunopenso
terraform-aws-apigateway,chicoribas
terraform-aws-apigateway,maiconzotto
terraform-aws-apigateway,manumbs
terraform-aws-apigateway,s-azdevops
terraform-aws-asg,ricardolavor
terraform-aws-asg,renatogp
terraform-aws-asg,brunopenso
terraform-aws-asg,chicoribas
terraform-aws-asg,maiconzotto
terraform-aws-asg,manumbs
terraform-aws-asg,s-azdevops
terraform-aws-cloudtrail,ricardolavor
terraform-aws-cloudtrail,renatogp
terraform-aws-cloudtrail,brunopenso
terraform-aws-cloudtrail,chicoribas
terraform-aws-cloudtrail,maiconzotto
terraform-aws-cloudtrail,manumbs
terraform-aws-cloudtrail,s-azdevops
terraform-aws-cloudwatchlogs,ricardolavor
terraform-aws-cloudwatchlogs,renatogp
terraform-aws-cloudwatchlogs,brunopenso
terraform-aws-cloudwatchlogs,chicoribas
terraform-aws-cloudwatchlogs,maiconzotto
terraform-aws-cloudwatchlogs,manumbs
terraform-aws-cloudwatchlogs,s-azdevops
tf-aws-module-documentdb,ricardolavor
tf-aws-module-documentdb,renatogp
tf-aws-module-documentdb,brunopenso
tf-aws-module-documentdb,chicoribas
tf-aws-module-documentdb,maiconzotto
tf-aws-module-documentdb,manumbs
tf-aws-module-documentdb,s-azdevops
tf-aws-module-ecr,ricardolavor
tf-aws-module-ecr,renatogp
tf-aws-module-ecr,brunopenso
tf-aws-module-ecr,chicoribas
tf-aws-module-ecr,maiconzotto
tf-aws-module-ecr,manumbs
tf-aws-module-ecr,s-azdevops
terraform-aws-eks,ricardolavor
terraform-aws-eks,renatogp
terraform-aws-eks,brunopenso
terraform-aws-eks,chicoribas
terraform-aws-eks,maiconzotto
terraform-aws-eks,manumbs
terraform-aws-eks,s-azdevops
terraform-aws-keypair,ricardolavor
terraform-aws-keypair,renatogp
terraform-aws-keypair,brunopenso
terraform-aws-keypair,chicoribas
terraform-aws-keypair,maiconzotto
terraform-aws-keypair,manumbs
terraform-aws-keypair,s-azdevops
terraform-aws-organizationaccount,ricardolavor
terraform-aws-organizationaccount,renatogp
terraform-aws-organizationaccount,brunopenso
terraform-aws-organizationaccount,chicoribas
terraform-aws-organizationaccount,maiconzotto
terraform-aws-organizationaccount,manumbs
terraform-aws-organizationaccount,s-azdevops
terraform-aws-organizationunit,ricardolavor
terraform-aws-organizationunit,renatogp
terraform-aws-organizationunit,brunopenso
terraform-aws-organizationunit,chicoribas
terraform-aws-organizationunit,maiconzotto
terraform-aws-organizationunit,manumbs
terraform-aws-organizationunit,s-azdevops
terraform-aws-route53,ricardolavor
terraform-aws-route53,renatogp
terraform-aws-route53,brunopenso
terraform-aws-route53,chicoribas
terraform-aws-route53,maiconzotto
terraform-aws-route53,manumbs
terraform-aws-route53,s-azdevops
terraform-aws-scp,ricardolavor
terraform-aws-scp,renatogp
terraform-aws-scp,brunopenso
terraform-aws-scp,chicoribas
terraform-aws-scp,maiconzotto
terraform-aws-scp,manumbs
terraform-aws-scp,s-azdevops
terraform-aws-sqs,ricardolavor
terraform-aws-sqs,renatogp
terraform-aws-sqs,brunopenso
terraform-aws-sqs,chicoribas
terraform-aws-sqs,maiconzotto
terraform-aws-sqs,manumbs
terraform-aws-sqs,s-azdevops
terraform-aws-tgwattachment,ricardolavor
terraform-aws-tgwattachment,renatogp
terraform-aws-tgwattachment,brunopenso
terraform-aws-tgwattachment,chicoribas
terraform-aws-tgwattachment,maiconzotto
terraform-aws-tgwattachment,manumbs
terraform-aws-tgwattachment,s-azdevops
terraform-aws-tgw,ricardolavor
terraform-aws-tgw,renatogp
terraform-aws-tgw,brunopenso
terraform-aws-tgw,chicoribas
terraform-aws-tgw,maiconzotto
terraform-aws-tgw,manumbs
terraform-aws-tgw,s-azdevops
terraform-aws-tgwroutes,ricardolavor
terraform-aws-tgwroutes,renatogp
terraform-aws-tgwroutes,brunopenso
terraform-aws-tgwroutes,chicoribas
terraform-aws-tgwroutes,maiconzotto
terraform-aws-tgwroutes,manumbs
terraform-aws-tgwroutes,s-azdevops
terraform-aws-production-account-infracore,ricardolavor
terraform-aws-production-account-infracore,renatogp
terraform-aws-production-account-infracore,brunopenso
terraform-aws-production-account-infracore,chicoribas
terraform-aws-production-account-infracore,maiconzotto
terraform-aws-production-account-infracore,manumbs
terraform-aws-production-account-infracore,s-azdevops
terraform-aws-homologation-account-infracore,ricardolavor
terraform-aws-homologation-account-infracore,renatogp
terraform-aws-homologation-account-infracore,brunopenso
terraform-aws-homologation-account-infracore,chicoribas
terraform-aws-homologation-account-infracore,maiconzotto
terraform-aws-homologation-account-infracore,manumbs
terraform-aws-homologation-account-infracore,s-azdevops
terraform-aws-development-account-infracore,ricardolavor
terraform-aws-development-account-infracore,renatogp
terraform-aws-development-account-infracore,brunopenso
terraform-aws-development-account-infracore,chicoribas
terraform-aws-development-account-infracore,maiconzotto
terraform-aws-development-account-infracore,manumbs
terraform-aws-development-account-infracore,s-azdevops
terraform-aws-sharedservices-account-infracore,ricardolavor
terraform-aws-sharedservices-account-infracore,renatogp
terraform-aws-sharedservices-account-infracore,brunopenso
terraform-aws-sharedservices-account-infracore,chicoribas
terraform-aws-sharedservices-account-infracore,maiconzotto
terraform-aws-sharedservices-account-infracore,manumbs
terraform-aws-sharedservices-account-infracore,s-azdevops
terraform-aws-extranet-account-infracore,ricardolavor
terraform-aws-extranet-account-infracore,renatogp
terraform-aws-extranet-account-infracore,brunopenso
terraform-aws-extranet-account-infracore,chicoribas
terraform-aws-extranet-account-infracore,maiconzotto
terraform-aws-extranet-account-infracore,manumbs
terraform-aws-extranet-account-infracore,s-azdevops
terraform-aws-logging-account-infracore,ricardolavor
terraform-aws-logging-account-infracore,renatogp
terraform-aws-logging-account-infracore,brunopenso
terraform-aws-logging-account-infracore,chicoribas
terraform-aws-logging-account-infracore,maiconzotto
terraform-aws-logging-account-infracore,manumbs
terraform-aws-logging-account-infracore,s-azdevops
terraform-aws-security-account-infracore,ricardolavor
terraform-aws-security-account-infracore,renatogp
terraform-aws-security-account-infracore,brunopenso
terraform-aws-security-account-infracore,chicoribas
terraform-aws-security-account-infracore,maiconzotto
terraform-aws-security-account-infracore,manumbs
terraform-aws-security-account-infracore,s-azdevops
madmax-api,jairhenrique
madmax-api,ricardolavor
madmax-api,renatogp
madmax-api,brunopenso
madmax-api,chicoribas
madmax-api,maiconzotto
madmax-api,manumbs
madmax-api,s-azdevops
tf-aws-module-rds,ricardolavor
tf-aws-module-rds,renatogp
tf-aws-module-rds,brunopenso
tf-aws-module-rds,chicoribas
tf-aws-module-rds,maiconzotto
tf-aws-module-rds,manumbs
tf-aws-module-rds,s-azdevops
terraform-website-s3-cloudfront-route53,ricardolavor
terraform-website-s3-cloudfront-route53,renatogp
terraform-website-s3-cloudfront-route53,brunopenso
terraform-website-s3-cloudfront-route53,chicoribas
terraform-website-s3-cloudfront-route53,maiconzotto
terraform-website-s3-cloudfront-route53,manumbs
terraform-website-s3-cloudfront-route53,s-azdevops
terraform-google-kubernetes-engine,ricardolavor
terraform-google-kubernetes-engine,renatogp
terraform-google-kubernetes-engine,brunopenso
terraform-google-kubernetes-engine,chicoribas
terraform-google-kubernetes-engine,maiconzotto
terraform-google-kubernetes-engine,manumbs
terraform-google-kubernetes-engine,s-azdevops
catalogodigital_frontend,ricardolavor
catalogodigital_frontend,renatogp
catalogodigital_frontend,brunopenso
catalogodigital_frontend,chicoribas
catalogodigital_frontend,maiconzotto
catalogodigital_frontend,manumbs
catalogodigital_frontend,s-azdevops
catalogodigital_backend,ricardolavor
catalogodigital_backend,renatogp
catalogodigital_backend,brunopenso
catalogodigital_backend,chicoribas
catalogodigital_backend,maiconzotto
catalogodigital_backend,manumbs
catalogodigital_backend,s-azdevops
madmax-front,ricardolavor
madmax-front,renatogp
madmax-front,brunopenso
madmax-front,chicoribas
madmax-front,maiconzotto
madmax-front,manumbs
madmax-front,s-azdevops
whatsapp-infra,ricardolavor
whatsapp-infra,renatogp
whatsapp-infra,brunopenso
whatsapp-infra,chicoribas
whatsapp-infra,maiconzotto
whatsapp-infra,manumbs
whatsapp-infra,s-azdevops
ecomm_bbx_frontend,ricardolavor
ecomm_bbx_frontend,renatogp
ecomm_bbx_frontend,brunopenso
ecomm_bbx_frontend,chicoribas
ecomm_bbx_frontend,maiconzotto
ecomm_bbx_frontend,manumbs
ecomm_bbx_frontend,s-azdevops
ecomm_bbx_backend,ricardolavor
ecomm_bbx_backend,renatogp
ecomm_bbx_backend,brunopenso
ecomm_bbx_backend,chicoribas
ecomm_bbx_backend,maiconzotto
ecomm_bbx_backend,manumbs
ecomm_bbx_backend,s-azdevops
ecomm_bbx_fielo_backend,ricardolavor
ecomm_bbx_fielo_backend,renatogp
ecomm_bbx_fielo_backend,brunopenso
ecomm_bbx_fielo_backend,chicoribas
ecomm_bbx_fielo_backend,maiconzotto
ecomm_bbx_fielo_backend,manumbs
ecomm_bbx_fielo_backend,s-azdevops
ecomm_bbx_myaccount_frontend,ricardolavor
ecomm_bbx_myaccount_frontend,renatogp
ecomm_bbx_myaccount_frontend,brunopenso
ecomm_bbx_myaccount_frontend,chicoribas
ecomm_bbx_myaccount_frontend,maiconzotto
ecomm_bbx_myaccount_frontend,manumbs
ecomm_bbx_myaccount_frontend,s-azdevops
ecomm_bbx_checkout,ricardolavor
ecomm_bbx_checkout,renatogp
ecomm_bbx_checkout,brunopenso
ecomm_bbx_checkout,chicoribas
ecomm_bbx_checkout,maiconzotto
ecomm_bbx_checkout,manumbs
ecomm_bbx_checkout,s-azdevops
ecomm_bbx_assinaturas,ricardolavor
ecomm_bbx_assinaturas,renatogp
ecomm_bbx_assinaturas,brunopenso
ecomm_bbx_assinaturas,chicoribas
ecomm_bbx_assinaturas,maiconzotto
ecomm_bbx_assinaturas,manumbs
ecomm_bbx_assinaturas,s-azdevops
ecomm_bbxOldStore_backup,ricardolavor
ecomm_bbxOldStore_backup,renatogp
ecomm_bbxOldStore_backup,brunopenso
ecomm_bbxOldStore_backup,chicoribas
ecomm_bbxOldStore_backup,maiconzotto
ecomm_bbxOldStore_backup,manumbs
ecomm_bbxOldStore_backup,s-azdevops
ecomm_bot_frontend,ricardolavor
ecomm_bot_frontend,renatogp
ecomm_bot_frontend,brunopenso
ecomm_bot_frontend,chicoribas
ecomm_bot_frontend,maiconzotto
ecomm_bot_frontend,manumbs
ecomm_bot_frontend,s-azdevops
ecomm_bot_backend,ricardolavor
ecomm_bot_backend,renatogp
ecomm_bot_backend,brunopenso
ecomm_bot_backend,chicoribas
ecomm_bot_backend,maiconzotto
ecomm_bot_backend,manumbs
ecomm_bot_backend,s-azdevops
ecomm_bot_checkout,ricardolavor
ecomm_bot_checkout,renatogp
ecomm_bot_checkout,brunopenso
ecomm_bot_checkout,chicoribas
ecomm_bot_checkout,maiconzotto
ecomm_bot_checkout,manumbs
ecomm_bot_checkout,s-azdevops
ecomm_bot_finder,ricardolavor
ecomm_bot_finder,renatogp
ecomm_bot_finder,brunopenso
ecomm_bot_finder,chicoribas
ecomm_bot_finder,maiconzotto
ecomm_bot_finder,manumbs
ecomm_bot_finder,s-azdevops
ecomm_bot_emails,ricardolavor
ecomm_bot_emails,renatogp
ecomm_bot_emails,brunopenso
ecomm_bot_emails,chicoribas
ecomm_bot_emails,maiconzotto
ecomm_bot_emails,manumbs
ecomm_bot_emails,s-azdevops
ecomm_qdb_frontend,ricardolavor
ecomm_qdb_frontend,renatogp
ecomm_qdb_frontend,brunopenso
ecomm_qdb_frontend,chicoribas
ecomm_qdb_frontend,maiconzotto
ecomm_qdb_frontend,manumbs
ecomm_qdb_frontend,s-azdevops
ecomm_eud_frontend,ricardolavor
ecomm_eud_frontend,renatogp
ecomm_eud_frontend,brunopenso
ecomm_eud_frontend,chicoribas
ecomm_eud_frontend,maiconzotto
ecomm_eud_frontend,manumbs
ecomm_eud_frontend,s-azdevops
ecomm_bot_upload,ricardolavor
ecomm_bot_upload,renatogp
ecomm_bot_upload,brunopenso
ecomm_bot_upload,chicoribas
ecomm_bot_upload,maiconzotto
ecomm_bot_upload,manumbs
ecomm_bot_upload,s-azdevops
terrraform-aws-quickstart-rancher,ricardolavor
terrraform-aws-quickstart-rancher,renatogp
terrraform-aws-quickstart-rancher,brunopenso
terrraform-aws-quickstart-rancher,chicoribas
terrraform-aws-quickstart-rancher,maiconzotto
terrraform-aws-quickstart-rancher,manumbs
terrraform-aws-quickstart-rancher,s-azdevops
cloudformation-facebook-template,ricardolavor
cloudformation-facebook-template,renatogp
cloudformation-facebook-template,brunopenso
cloudformation-facebook-template,chicoribas
cloudformation-facebook-template,maiconzotto
cloudformation-facebook-template,manumbs
cloudformation-facebook-template,s-azdevops
terraform-aws-s3,ricardolavor
terraform-aws-s3,renatogp
terraform-aws-s3,brunopenso
terraform-aws-s3,chicoribas
terraform-aws-s3,maiconzotto
terraform-aws-s3,manumbs
terraform-aws-s3,s-azdevops
action-register-change-dummyapp,ricardolavor
action-register-change-dummyapp,renatogp
action-register-change-dummyapp,brunopenso
action-register-change-dummyapp,chicoribas
action-register-change-dummyapp,maiconzotto
action-register-change-dummyapp,manumbs
action-register-change-dummyapp,s-azdevops
terraform-aws-api-gateway-stage,ricardolavor
terraform-aws-api-gateway-stage,renatogp
terraform-aws-api-gateway-stage,brunopenso
terraform-aws-api-gateway-stage,chicoribas
terraform-aws-api-gateway-stage,maiconzotto
terraform-aws-api-gateway-stage,manumbs
terraform-aws-api-gateway-stage,s-azdevops
news-fragments,ricardolavor
news-fragments,renatogp
news-fragments,brunopenso
news-fragments,chicoribas
news-fragments,maiconzotto
news-fragments,manumbs
news-fragments,s-azdevops
bb8,ricardolavor
bb8,renatogp
bb8,brunopenso
bb8,chicoribas
bb8,maiconzotto
bb8,manumbs
bb8,s-azdevops
terraform-aws-development-account-whatsapp,ricardolavor
terraform-aws-development-account-whatsapp,renatogp
terraform-aws-development-account-whatsapp,brunopenso
terraform-aws-development-account-whatsapp,chicoribas
terraform-aws-development-account-whatsapp,maiconzotto
terraform-aws-development-account-whatsapp,manumbs
terraform-aws-development-account-whatsapp,s-azdevops
terraform-aws-homologation-account-whatsapp,ricardolavor
terraform-aws-homologation-account-whatsapp,renatogp
terraform-aws-homologation-account-whatsapp,brunopenso
terraform-aws-homologation-account-whatsapp,chicoribas
terraform-aws-homologation-account-whatsapp,maiconzotto
terraform-aws-homologation-account-whatsapp,manumbs
terraform-aws-homologation-account-whatsapp,s-azdevops
terraform-aws-production-account-whatsapp,ricardolavor
terraform-aws-production-account-whatsapp,renatogp
terraform-aws-production-account-whatsapp,brunopenso
terraform-aws-production-account-whatsapp,chicoribas
terraform-aws-production-account-whatsapp,maiconzotto
terraform-aws-production-account-whatsapp,manumbs
terraform-aws-production-account-whatsapp,s-azdevops
terraform-aws-catalogodigital-resources,ricardolavor
terraform-aws-catalogodigital-resources,renatogp
terraform-aws-catalogodigital-resources,brunopenso
terraform-aws-catalogodigital-resources,chicoribas
terraform-aws-catalogodigital-resources,maiconzotto
terraform-aws-catalogodigital-resources,manumbs
terraform-aws-catalogodigital-resources,s-azdevops
terraform-aws-bigdata-development-account-infracore,ricardolavor
terraform-aws-bigdata-development-account-infracore,renatogp
